"","cell_id","class_label"
"955--forebrain: NC-E9.5-11.5","955_E9.5_11.5_Tang",24
"956--forebrain: NC-E9.5-11.5","956_E9.5_11.5_Tang",27
"964--forebrain: NC-E9.5-11.5","964_E9.5_11.5_Tang",24
"974--brain_non-myeloid: endothelial cell-18m","974_FACS 18m",28
"975--heart: endothelial cell of coronary artery-18m","975_FACS 18m",28
"980--lung: bronchial smooth muscle cell-18m","980_FACS 18m",12
"985--skin: bulge keratinocyte-18m","985_FACS 18m",7
"990--tongue: basal cell of epidermis-18m","990_FACS 18m",29
"992--skin: basal cell of epidermis-18m","992_FACS 18m",7
"995--marrow: hematopoietic stem cell-18m","995_FACS 18m",19
"1001--large_intestine: epithelial cell of large intestine-18m","1001_FACS 18m",20
"1002--bladder: bladder urothelial cell-18m","1002_FACS 18m",7
"1007--scat: mesenchymal stem cell of adipose-18m","1007_FACS 18m",6
"1009--mammary_gland: basal cell-18m","1009_FACS 18m",7
"1012--brain_non-myeloid: astrocyte-18m","1012_FACS 18m",16
"1014--liver: endothelial cell of hepatic sinusoid-18m","1014_FACS 18m",12
"1018--brain_non-myeloid: brain pericyte-18m","1018_FACS 18m",26
"1021--heart: atrial myocyte-18m","1021_FACS 18m",6
"1023--thymus: thymocyte-18m","1023_FACS 18m",20
"1024--tongue: keratinocyte-18m","1024_FACS 18m",2
"1027--marrow: hematopoietic stem cell-18m","1027_FACS 18m",19
"1030--heart: endocardial cell-18m","1030_FACS 18m",12
"1033--marrow: granulocyte monocyte progenitor cell-18m","1033_FACS 18m",19
"1034--tongue: keratinocyte-18m","1034_FACS 18m",2
"1036--thymus: thymocyte-18m","1036_FACS 18m",23
"1038--trachea: basal epithelial cell of tracheobronchial tree-18m","1038_FACS 18m",6
